account_id,account_name,plan_tier,seats,churn_probability,risk_level,total_usage,total_errors,ticket_count,avg_satisfaction_score,top_signal,recommended_action
A-cd458b,Company_430,Basic,10,0.583,Medium Risk,864,45,5.0,4.6,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-f17767,Company_123,Enterprise,1,0.583,Medium Risk,713,38,3.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-55f257,Company_496,Basic,9,0.582,Medium Risk,476,25,6.0,5.0,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-7a0d69,Company_187,Enterprise,4,0.581,Medium Risk,606,31,2.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-ffdfd5,Company_365,Basic,3,0.581,Medium Risk,529,28,0.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-5a3eb9,Company_283,Enterprise,18,0.58,Medium Risk,722,34,3.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-6f8ad2,Company_57,Basic,1,0.58,Medium Risk,924,59,4.0,4.333333333333333,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-81edc3,Company_236,Basic,5,0.579,Medium Risk,765,41,3.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-5247b3,Company_375,Pro,16,0.578,Medium Risk,610,29,5.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-f03140,Company_209,Pro,27,0.578,Medium Risk,595,22,7.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-8bde0c,Company_287,Basic,12,0.578,Medium Risk,773,43,3.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-fa2041,Company_211,Pro,15,0.577,Medium Risk,552,34,1.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-88c6ca,Company_179,Basic,5,0.577,Medium Risk,446,19,1.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-443f6f,Company_304,Basic,19,0.577,Medium Risk,527,28,4.0,4.666666666666667,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-7f8241,Company_42,Pro,34,0.576,Medium Risk,734,38,1.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-0e966d,Company_493,Basic,11,0.575,Medium Risk,636,34,3.0,4.5,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-0dbdc6,Company_366,Pro,30,0.575,Medium Risk,512,31,4.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-bd4708,Company_257,Pro,37,0.575,Medium Risk,653,30,4.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-249769,Company_214,Enterprise,4,0.573,Medium Risk,678,30,2.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-bcf664,Company_248,Pro,5,0.571,Medium Risk,575,28,5.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-7f4db3,Company_441,Pro,4,0.571,Medium Risk,844,46,5.0,3.25,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-22d9d2,Company_188,Pro,8,0.571,Medium Risk,782,43,6.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-19b2c8,Company_476,Pro,20,0.569,Medium Risk,601,34,3.0,4.666666666666667,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-87aa7b,Company_433,Pro,24,0.569,Medium Risk,742,35,3.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-00bed1,Company_306,Basic,28,0.569,Medium Risk,514,27,4.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-8adedc,Company_300,Basic,4,0.566,Medium Risk,583,33,4.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-544d0a,Company_153,Basic,2,0.566,Medium Risk,510,22,2.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-474ad4,Company_261,Basic,8,0.565,Medium Risk,605,45,3.0,5.0,High Error Rate,Assign technical support — investigate product errors immediately
A-80eeb6,Company_402,Enterprise,22,0.564,Medium Risk,725,43,4.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-bcf87c,Company_288,Pro,10,0.564,Medium Risk,503,19,2.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-c45b23,Company_75,Basic,5,0.564,Medium Risk,581,30,3.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-10b8f2,Company_151,Basic,47,0.564,Medium Risk,560,23,3.0,4.333333333333333,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-6f50ae,Company_466,Pro,19,0.563,Medium Risk,811,48,5.0,4.5,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-bbc346,Company_138,Enterprise,19,0.563,Medium Risk,650,37,3.0,4.5,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-6e08f3,Company_220,Basic,8,0.563,Medium Risk,492,21,2.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-5c9849,Company_362,Basic,19,0.563,Medium Risk,473,23,4.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-832ec2,Company_19,Enterprise,4,0.56,Medium Risk,511,25,3.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-35083d,Company_27,Basic,19,0.559,Medium Risk,791,37,4.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-eb2fdc,Company_216,Enterprise,31,0.559,Medium Risk,547,17,5.0,4.5,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-1b707d,Company_56,Enterprise,1,0.558,Medium Risk,399,12,3.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-600734,Company_327,Pro,29,0.558,Medium Risk,660,30,7.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-cc98bc,Company_469,Basic,32,0.558,Medium Risk,551,24,3.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-ccabf0,Company_471,Pro,1,0.556,Medium Risk,506,29,4.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-e5d6ab,Company_7,Pro,3,0.556,Medium Risk,382,23,3.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-7920cc,Company_412,Pro,39,0.556,Medium Risk,601,28,7.0,4.333333333333333,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-712426,Company_155,Enterprise,9,0.554,Medium Risk,696,31,6.0,4.4,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-e61e98,Company_115,Enterprise,19,0.554,Medium Risk,527,25,6.0,4.6,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-ff79f2,Company_165,Basic,8,0.554,Medium Risk,393,12,2.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-b3fe05,Company_238,Pro,8,0.553,Medium Risk,438,18,4.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-427b69,Company_453,Basic,17,0.553,Medium Risk,698,36,2.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-d4ac0e,Company_364,Basic,18,0.553,Medium Risk,793,53,4.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-df1e44,Company_323,Enterprise,12,0.553,Medium Risk,420,14,2.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-c7ffc2,Company_392,Pro,30,0.553,Medium Risk,640,28,2.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-7988d1,Company_90,Basic,33,0.552,Medium Risk,449,28,3.0,4.333333333333333,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-b7724f,Company_320,Basic,1,0.552,Medium Risk,380,16,3.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-9779ad,Company_171,Pro,40,0.551,Medium Risk,413,25,3.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-c37601,Company_48,Basic,6,0.55,Medium Risk,489,21,4.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-5a184f,Company_124,Enterprise,1,0.55,Medium Risk,587,29,3.0,4.333333333333333,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-089363,Company_387,Basic,2,0.549,Medium Risk,628,33,3.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-22f2df,Company_106,Basic,3,0.549,Medium Risk,429,17,5.0,5.0,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-fdfc91,Company_414,Basic,29,0.548,Medium Risk,564,29,5.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-7f29a7,Company_386,Basic,41,0.547,Medium Risk,619,38,1.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-e693b6,Company_240,Enterprise,55,0.546,Medium Risk,681,25,1.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-4e631b,Company_298,Enterprise,22,0.546,Medium Risk,502,29,2.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-3a7284,Company_93,Enterprise,31,0.544,Medium Risk,609,30,3.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-acb7f7,Company_330,Basic,32,0.544,Medium Risk,612,36,3.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-781cc0,Company_499,Pro,12,0.544,Medium Risk,864,42,4.0,3.6666666666666665,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-6a4e2d,Company_46,Pro,9,0.544,Medium Risk,597,31,2.0,4.5,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-378b99,Company_60,Pro,8,0.544,Medium Risk,565,38,6.0,4.5,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-4d1e75,Company_58,Basic,20,0.543,Medium Risk,477,25,2.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-ff3c73,Company_244,Pro,21,0.543,Medium Risk,408,23,2.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-016043,Company_405,Basic,4,0.543,Medium Risk,490,21,3.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-89ee83,Company_312,Pro,1,0.543,Medium Risk,565,26,5.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-4437e4,Company_192,Enterprise,3,0.543,Medium Risk,806,43,6.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-2b9d3e,Company_319,Enterprise,1,0.542,Medium Risk,444,19,3.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-e1b9cd,Company_484,Pro,40,0.542,Medium Risk,840,47,1.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-e51ec7,Company_113,Enterprise,2,0.542,Medium Risk,417,18,3.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-712f1c,Company_331,Basic,17,0.542,Medium Risk,631,34,6.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-95b24a,Company_117,Pro,38,0.541,Medium Risk,611,34,5.0,4.25,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-c37cab,Company_278,Pro,13,0.541,Medium Risk,708,40,4.0,3.75,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-9affe6,Company_401,Pro,7,0.54,Medium Risk,473,16,3.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-cea1f0,Company_273,Pro,8,0.54,Medium Risk,586,28,5.0,4.333333333333333,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-fce879,Company_291,Pro,10,0.54,Medium Risk,299,14,2.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-e36807,Company_164,Pro,6,0.539,Medium Risk,446,27,2.0,4.5,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-7641d3,Company_429,Pro,8,0.538,Medium Risk,519,26,5.0,4.333333333333333,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-9ee962,Company_59,Basic,9,0.538,Medium Risk,439,17,3.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-ce66f8,Company_17,Pro,29,0.538,Medium Risk,494,19,6.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-bf7919,Company_426,Pro,3,0.538,Medium Risk,262,14,2.0,5.0,High Error Rate,Assign technical support — investigate product errors immediately
A-af0cd2,Company_204,Enterprise,19,0.538,Medium Risk,687,33,3.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-779e4e,Company_193,Basic,5,0.538,Medium Risk,393,20,5.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-4ef964,Company_262,Pro,17,0.537,Medium Risk,487,33,3.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-00cac8,Company_26,Enterprise,8,0.537,Medium Risk,602,31,2.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-ba6516,Company_154,Pro,27,0.537,Medium Risk,642,32,6.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-65aeb5,Company_120,Pro,9,0.536,Medium Risk,533,40,2.0,5.0,High Error Rate,Assign technical support — investigate product errors immediately
A-1f0636,Company_368,Pro,105,0.536,Medium Risk,685,30,2.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-54d94a,Company_385,Basic,27,0.536,Medium Risk,582,28,4.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-e2cd1b,Company_121,Enterprise,15,0.536,Medium Risk,465,18,5.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-0cc442,Company_198,Basic,45,0.536,Medium Risk,765,41,3.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-068fc6,Company_465,Enterprise,35,0.535,Medium Risk,598,29,5.0,4.333333333333333,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-7d514c,Company_119,Enterprise,17,0.535,Medium Risk,502,30,3.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-151c9a,Company_260,Enterprise,23,0.534,Medium Risk,366,14,2.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-9f9299,Company_133,Enterprise,28,0.533,Medium Risk,830,54,5.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-86cdb4,Company_250,Basic,2,0.532,Medium Risk,492,24,5.0,4.333333333333333,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-396e5f,Company_30,Enterprise,2,0.532,Medium Risk,540,23,5.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-a2485e,Company_467,Pro,3,0.532,Medium Risk,317,13,0.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-271f46,Company_84,Pro,38,0.531,Medium Risk,373,16,1.0,4.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-883b7d,Company_313,Basic,17,0.531,Medium Risk,644,40,7.0,3.6,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-855a48,Company_389,Pro,14,0.53,Medium Risk,448,16,5.0,3.6666666666666665,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-1619f8,Company_183,Pro,29,0.53,Medium Risk,432,26,3.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-66224b,Company_87,Pro,92,0.53,Medium Risk,626,29,6.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-82d8a6,Company_444,Basic,5,0.53,Medium Risk,661,38,5.0,3.5,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-098560,Company_349,Enterprise,1,0.529,Medium Risk,567,32,2.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-712533,Company_498,Pro,18,0.529,Medium Risk,571,35,5.0,3.75,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-c9bb3e,Company_336,Pro,5,0.529,Medium Risk,474,20,7.0,4.2,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-72799b,Company_394,Enterprise,20,0.529,Medium Risk,550,34,2.0,4.5,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-684255,Company_20,Enterprise,9,0.528,Medium Risk,653,44,4.0,4.666666666666667,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-c608c8,Company_199,Pro,3,0.527,Medium Risk,445,27,2.0,3.0,Low Satisfaction Score,Schedule customer success call — address pain points directly
A-dfbd31,Company_190,Enterprise,14,0.527,Medium Risk,599,19,6.0,4.25,High Ticket Volume,Proactive outreach — review history of unresolved issues
A-fda07f,Company_230,Basic,7,0.526,Medium Risk,681,39,5.0,4.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-7da956,Company_141,Pro,13,0.526,Medium Risk,543,35,3.0,5.0,High Feature Usage (Unmet Goals),Review feature gaps — offer upgrade consultation or product demo
A-b78bf8,Company_148,Pro,33,0.526,Medium Risk,421,11,5.0,4.2,High Ticket Volume,Proactive outreach — review history of unresolved issues
